locus,A_coeff,B_coeff,A,B,d,x21,tau_x21,canonical_x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
Hmin,221002,110000,220112001,111222000,012,220112001111222000012,222000111101020212012,220112001111222000012,171,1509,1674,-165,9054,10044,-990,1854,2844,369,-12,16,0,-810,0,0,-180
Hmin,222001,210000,221110002,222000111,012,221110002222000111012,111222000121010202012,111222000121010202012,171,1509,1674,-165,9054,10044,-990,1854,2844,369,-12,16,0,-810,0,0,-180
Hmax,220200,002001,222000222,002002002,121,222000222002002002121,010010010111111000221,010010010111111000221,240,1534,539,995,9204,3234,5970,6012,42,6,-8,18,714,1008,1584,954,1710
pure_frontier,220200,000000,222000222,000000000,111,222000222000000000111,000000000111111000222,000000000111111000222,219,1484,530,954,8904,3180,5724,5724,0,0,0,16,756,864,1512,432,2160
pure_frontier,220200,002001,222000222,002002002,111,222000222002002002111,010010010111111000222,010010010111111000222,255,1472,518,954,8832,3108,5724,5724,0,0,0,18,756,936,1458,864,1710
