locus,A_coeff,B_coeff,A,B,d,x21,tau_x21,canonical_x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
Hmin,210000,210000,222000111,222000111,012,222000111222000111012,111222000111222000012,111222000111222000012,81,1566,1944,-378,9396,11664,-2268,972,3240,288,-14,16,0,-2268,0,0,0
Hmin,211000,011000,201012120,012120201,012,201012120012120201012,012120201120201012012,012120201120201012012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
Hmin,211000,211000,201012120,201012120,012,201012120201012120012,120201012120201012012,120201012120201012012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
Hmax,210200,002002,222222000,010010010,101,222222000010010010101,002002002111000111220,002002002111000111220,159,1768,749,1019,10608,4494,6114,6198,84,21,-6,18,804,1044,1818,1044,1404
Hmax,210200,002002,222222000,010010010,121,222222000010010010121,002002002111000111221,002002002111000111221,150,1807,788,1019,10842,4728,6114,6204,90,21,-6,18,660,1170,1728,1152,1404
pure_frontier,210100,000000,222111222,000000000,111,222111222000000000111,000000000111111222222,000000000111111222222,282,1349,464,885,8094,2784,5310,5310,0,0,0,16,558,1044,1386,0,2322
