locus,A_coeff,B_coeff,A,B,d,x21,tau_x21,canonical_x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
Hmin,112002,211000,121202010,201012120,012,121202010201012120012,120201012221002110012,120201012221002110012,180,1362,1647,-285,8172,9882,-1710,1584,3294,444,-14,16,0,-810,0,0,-900
Hmax,111101,200000,101020101,222222222,100,101020101222222222100,111111111220220001200,101020101222222222100,213,1615,622,993,9690,3732,5958,6030,72,27,-4,18,708,1296,1380,732,1842
pure_frontier,112122,200002,121001100,211211211,110,121001100211211211110,122122122221200020202,121001100211211211110,237,1441,711,730,8646,4266,4380,4380,0,0,0,18,642,1050,1104,522,1062
