locus,A_coeff,B_coeff,A,B,d,x21,tau_x21,canonical_x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
Hmin,011000,011000,012120201,012120201,012,012120201012120201012,012120201012120201012,012120201012120201012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
Hmin,011000,111000,012120201,120201012,012,012120201120201012012,201012120012120201012,012120201120201012012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
Hmax,010211,000000,011020110,000000000,221,011020110000000000221,000000000022202001121,000000000022202001121,237,1601,620,981,9606,3720,5886,5904,18,6,-4,18,756,1266,1560,744,1560
pure_frontier,010221,102000,011002101,102102102,202,011002101102102102202,210210210022220010110,011002101102102102202,240,1480,707,773,8880,4242,4638,4638,0,0,0,18,624,954,1308,570,1182
