locus,A_coeff,B_coeff,A,B,d,x21,tau_x21,canonical_x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
Hmin,201100,211000,201012012,201012120,012,201012012201012120012,120201012120012012012,120201012120012012012,189,1377,1434,-57,8262,8604,-342,1950,2292,369,-14,16,108,18,270,126,-864
Hmin,201200,011000,201120120,012120201,012,201120120012120201012,012120201120201201012,012120201120201201012,189,1377,1434,-57,8262,8604,-342,1950,2292,369,-14,16,108,18,270,126,-864
Hmax,201001,100000,212212212,111111111,200,212212212111111111200,222222222112112112100,212212212111111111200,168,1456,311,1145,8736,1866,6870,6912,42,21,-2,18,930,1494,2214,126,2106
Hmax,201002,000000,220220220,000000000,121,220220220000000000121,000000000101101101221,000000000101101101221,168,1456,311,1145,8736,1866,6870,6912,42,21,-2,18,930,1494,2214,126,2106
pure_frontier,201001,100000,212212212,111111111,000,212212212111111111000,222222222112112112000,212212212111111111000,201,1418,320,1098,8508,1920,6588,6588,0,0,0,16,756,1476,2088,216,2052
pure_frontier,201002,000000,220220220,000000000,111,220220220000000000111,000000000101101101222,000000000101101101222,201,1418,320,1098,8508,1920,6588,6588,0,0,0,16,756,1476,2088,216,2052
