locus,A_coeff,B_coeff,A,B,d,x21,tau_x21,canonical_x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
Hmin,010001,011000,011122200,012120201,012,011122200012120201012,012120201022100211012,011122200012120201012,225,1380,1512,-132,8280,9072,-792,2088,2880,408,-14,16,0,-378,0,324,-738
Hmin,010002,111000,022100211,120201012,012,022100211120201012012,201012120011122200012,022100211120201012012,225,1380,1512,-132,8280,9072,-792,2088,2880,408,-14,16,0,-378,0,324,-738
Hmax,002001,200000,002002002,222222222,101,002002002222222222101,111111111010010010220,002002002222222222101,168,1456,311,1145,8736,1866,6870,6912,42,21,-2,18,930,1494,2214,126,2106
pure_frontier,002001,200000,002002002,222222222,111,002002002222222222111,111111111010010010222,002002002222222222111,201,1418,320,1098,8508,1920,6588,6588,0,0,0,16,756,1476,2088,216,2052
