locus,A_coeff,B_coeff,A,B,d,x21,tau_x21,canonical_x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
Hmin,212001,211000,221002110,201012120,012,221002110201012120012,120201012121202010012,120201012121202010012,180,1362,1647,-285,8172,9882,-1710,1584,3294,444,-14,16,0,-810,0,0,-900
Hmax,220100,101001,222222111,101101101,100,222222111101101101100,220220220111222111200,220220220111222111200,159,1768,749,1019,10608,4494,6114,6198,84,21,-6,18,804,1044,1818,1044,1404
Hmax,220100,101001,222222111,101101101,200,222222111101101101200,220220220111222111100,220220220111222111100,150,1807,788,1019,10842,4728,6114,6204,90,21,-6,18,660,1170,1728,1152,1404
pure_frontier,211221,202000,212200002,210210210,211,212200002210210210211,102102102112010100122,102102102112010100122,240,1480,707,773,8880,4242,4638,4638,0,0,0,18,624,954,1308,570,1182
pure_frontier,212221,002000,221212011,021021021,001,221212011021021021001,021021021121022112020,021021021121022112020,240,1480,707,773,8880,4242,4638,4638,0,0,0,18,624,954,1308,570,1182
