locus,A_coeff,B_coeff,A,B,d,x21,tau_x21,canonical_x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
Hmin,101200,211000,120012012,201012120,012,120012012201012120012,120201012201012012012,120012012201012120012,189,1359,1452,-93,8154,8712,-558,1920,2478,369,-14,16,108,18,0,180,-864
Hmax,102002,200000,121121121,222222222,100,121121121222222222100,111111111221221221200,111111111221221221200,168,1456,311,1145,8736,1866,6870,6912,42,21,-2,18,930,1494,2214,126,2106
pure_frontier,102002,200000,121121121,222222222,000,121121121222222222000,111111111221221221000,111111111221221221000,201,1418,320,1098,8508,1920,6588,6588,0,0,0,16,756,1476,2088,216,2052
