utc,node_index,expected_answer,rerun_answer,seconds,fixed_signature,reason,mismatch
2026-05-02T20:40:28+00:00,4900,unsat,unsat,3.494,"12=1,13=0,14=2,15=1,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:30+00:00,4901,unsat,unsat,1.679,"12=2,13=0,14=2,15=1,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:31+00:00,4902,unsat,unsat,1.149,"12=0,13=1,14=2,15=1,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:33+00:00,4903,unsat,unsat,1.929,"12=1,13=1,14=2,15=1,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:33+00:00,4904,unsat,unsat,0.169,"12=2,13=1,14=2,15=1,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:34+00:00,4905,unsat,unsat,1.478,"12=0,13=2,14=2,15=1,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:34+00:00,4906,unsat,unsat,0.019,"12=1,13=2,14=2,15=1,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:35+00:00,4907,unsat,unsat,0.779,"12=2,13=2,14=2,15=1,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:35+00:00,4908,unsat,unsat,0.098,"12=0,13=0,14=0,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:35+00:00,4909,unsat,unsat,0.011,"12=1,13=0,14=0,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:35+00:00,4910,unsat,unsat,0.005,"12=2,13=0,14=0,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:35+00:00,4911,unsat,unsat,0.003,"12=0,13=1,14=0,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:35+00:00,4912,unsat,unsat,0.025,"12=1,13=1,14=0,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:35+00:00,4913,unsat,unsat,0.036,"12=2,13=1,14=0,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:35+00:00,4914,unsat,unsat,0.043,"12=0,13=2,14=0,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:35+00:00,4915,unsat,unsat,0.05,"12=1,13=2,14=0,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4916,unsat,unsat,0.036,"12=2,13=2,14=0,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4917,unsat,unsat,0.013,"12=0,13=0,14=1,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4918,unsat,unsat,0.003,"12=1,13=0,14=1,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4919,unsat,unsat,0.003,"12=2,13=0,14=1,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4920,unsat,unsat,0.003,"12=0,13=1,14=1,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4921,unsat,unsat,0.003,"12=1,13=1,14=1,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4922,unsat,unsat,0.003,"12=2,13=1,14=1,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4923,unsat,unsat,0.003,"12=0,13=2,14=1,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4924,unsat,unsat,0.002,"12=1,13=2,14=1,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4925,unsat,unsat,0.002,"12=2,13=2,14=1,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4926,unsat,unsat,0.003,"12=0,13=0,14=2,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4927,unsat,unsat,0.002,"12=1,13=0,14=2,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4928,unsat,unsat,0.002,"12=2,13=0,14=2,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4929,unsat,unsat,0.002,"12=0,13=1,14=2,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4930,unsat,unsat,0.002,"12=1,13=1,14=2,15=2,16=0,17=2,18=0,19=2,20=0",,0
