center,radius,H_tot,count
row_complement,2,5058,2
row_complement,2,5064,3
row_complement,2,5076,7
row_complement,2,5088,2
row_complement,2,5106,2
row_complement,2,5112,2
row_complement,2,5130,2
row_complement,2,5142,2
row_complement,2,5154,4
row_complement,2,5160,10
row_complement,2,5166,4
row_complement,2,5172,4
row_complement,2,5184,2
row_complement,2,5202,4
row_complement,2,5208,2
row_complement,2,5214,4
row_complement,2,5220,4
row_complement,2,5226,4
row_complement,2,5238,4
row_complement,2,5244,2
row_complement,2,5250,2
row_complement,2,5256,4
row_complement,2,5262,2
row_complement,2,5268,4
row_complement,2,5280,8
row_complement,2,5292,10
row_complement,2,5304,1
row_complement,2,5310,4
row_complement,2,5316,4
row_complement,2,5322,2
row_complement,2,5328,5
row_complement,2,5334,6
row_complement,2,5340,2
row_complement,2,5346,4
row_complement,2,5352,2
row_complement,2,5358,2
row_complement,2,5364,4
row_complement,2,5370,4
row_complement,2,5376,7
row_complement,2,5382,2
row_complement,2,5388,6
row_complement,2,5394,6
row_complement,2,5400,7
row_complement,2,5412,4
row_complement,2,5418,2
row_complement,2,5424,2
row_complement,2,5430,8
row_complement,2,5436,8
row_complement,2,5448,2
row_complement,2,5454,12
row_complement,2,5460,8
row_complement,2,5466,4
row_complement,2,5472,10
row_complement,2,5478,6
row_complement,2,5484,2
row_complement,2,5496,14
row_complement,2,5502,4
row_complement,2,5508,6
row_complement,2,5514,8
row_complement,2,5520,4
row_complement,2,5526,14
row_complement,2,5532,5
row_complement,2,5538,6
row_complement,2,5544,7
row_complement,2,5550,4
row_complement,2,5556,6
row_complement,2,5562,4
row_complement,2,5568,2
row_complement,2,5574,6
row_complement,2,5580,8
row_complement,2,5586,2
row_complement,2,5592,4
row_complement,2,5604,6
row_complement,2,5610,4
row_complement,2,5616,5
row_complement,2,5622,2
row_complement,2,5628,8
row_complement,2,5634,8
row_complement,2,5640,8
row_complement,2,5646,4
row_complement,2,5652,2
row_complement,2,5658,2
row_complement,2,5664,2
row_complement,2,5670,4
row_complement,2,5676,4
row_complement,2,5682,6
row_complement,2,5688,4
row_complement,2,5694,2
row_complement,2,5706,2
row_complement,2,5712,2
row_complement,2,5718,4
row_complement,2,5724,8
row_complement,2,5730,4
row_complement,2,5736,8
row_complement,2,5742,2
row_complement,2,5748,2
row_complement,2,5754,4
row_complement,2,5760,5
row_complement,2,5766,6
row_complement,2,5778,4
row_complement,2,5784,6
row_complement,2,5790,6
row_complement,2,5796,12
row_complement,2,5802,6
row_complement,2,5808,6
row_complement,2,5832,8
row_complement,2,5838,2
row_complement,2,5844,6
row_complement,2,5850,4
row_complement,2,5856,2
row_complement,2,5862,4
row_complement,2,5868,9
row_complement,2,5874,4
row_complement,2,5880,2
row_complement,2,5886,6
row_complement,2,5892,6
row_complement,2,5898,2
row_complement,2,5904,3
row_complement,2,5910,6
row_complement,2,5916,6
row_complement,2,5922,2
row_complement,2,5928,2
row_complement,2,5934,2
row_complement,2,5940,1
row_complement,2,5952,4
row_complement,2,5958,14
row_complement,2,5964,2
row_complement,2,5970,4
row_complement,2,5976,6
row_complement,2,5982,8
row_complement,2,5988,2
row_complement,2,6000,4
row_complement,2,6018,4
row_complement,2,6024,2
row_complement,2,6042,4
row_complement,2,6048,3
row_complement,2,6054,4
row_complement,2,6060,2
row_complement,2,6066,6
row_complement,2,6078,2
row_complement,2,6084,1
row_complement,2,6090,2
row_complement,2,6102,2
row_complement,2,6108,2
row_complement,2,6114,4
row_complement,2,6132,2
row_complement,2,6138,4
row_complement,2,6144,1
row_complement,2,6150,4
row_complement,2,6156,2
row_complement,2,6168,2
row_complement,2,6174,4
row_complement,2,6180,2
row_complement,2,6186,2
row_complement,2,6192,4
row_complement,2,6198,2
row_complement,2,6210,4
row_complement,2,6228,6
row_complement,2,6234,2
row_complement,2,6240,4
row_complement,2,6246,2
row_complement,2,6264,2
row_complement,2,6276,2
row_complement,2,6300,4
row_complement,2,6312,4
row_complement,2,6336,1
row_complement,2,6354,2
row_complement,2,6372,2
row_complement,2,6378,2
row_complement,2,6402,2
row_complement,2,6408,2
row_complement,2,6450,2
row_complement,2,6456,2
row_complement,2,6462,2
row_complement,2,6480,2
row_complement,2,6492,2
row_complement,2,6504,2
row_complement,2,6600,2
row_complement,2,6606,2
row_complement,2,6624,2
row_complement,2,6642,2
row_complement,2,6660,2
row_complement,2,6672,2
row_complement,2,6696,2
row_complement,2,6714,2
row_complement,2,6726,2
row_complement,2,6738,2
row_complement,2,6744,2
row_complement,2,6798,2
row_complement,2,6816,2
row_complement,2,6846,6
row_complement,2,6864,2
row_complement,2,6876,4
row_complement,2,6912,2
row_complement,2,6924,2
affine_Hmin_assoc81_representative,1,-1398,6
affine_Hmin_assoc81_representative,1,-1362,6
affine_Hmin_assoc81_representative,1,-1326,12
affine_Hmin_assoc81_representative,1,-1320,6
affine_Hmin_assoc81_representative,1,-1224,6
affine_Hmin_assoc81_representative,1,-1026,3
affine_Hmin_assoc81_representative,1,-954,3
affine_Hmin_assoc81_representative,2,-1458,6
affine_Hmin_assoc81_representative,2,-1266,6
affine_Hmin_assoc81_representative,2,-1230,6
affine_Hmin_assoc81_representative,2,-1170,6
affine_Hmin_assoc81_representative,2,-1008,6
affine_Hmin_assoc81_representative,2,-972,6
affine_Hmin_assoc81_representative,2,-960,6
affine_Hmin_assoc81_representative,2,-912,6
affine_Hmin_assoc81_representative,2,-894,6
affine_Hmin_assoc81_representative,2,-888,6
affine_Hmin_assoc81_representative,2,-864,6
affine_Hmin_assoc81_representative,2,-834,6
affine_Hmin_assoc81_representative,2,-822,6
affine_Hmin_assoc81_representative,2,-804,6
affine_Hmin_assoc81_representative,2,-744,6
affine_Hmin_assoc81_representative,2,-738,6
affine_Hmin_assoc81_representative,2,-720,12
affine_Hmin_assoc81_representative,2,-690,6
affine_Hmin_assoc81_representative,2,-678,18
affine_Hmin_assoc81_representative,2,-666,6
affine_Hmin_assoc81_representative,2,-660,12
affine_Hmin_assoc81_representative,2,-648,6
affine_Hmin_assoc81_representative,2,-630,6
affine_Hmin_assoc81_representative,2,-624,6
affine_Hmin_assoc81_representative,2,-618,18
affine_Hmin_assoc81_representative,2,-612,12
affine_Hmin_assoc81_representative,2,-606,6
affine_Hmin_assoc81_representative,2,-594,6
affine_Hmin_assoc81_representative,2,-588,12
affine_Hmin_assoc81_representative,2,-582,12
affine_Hmin_assoc81_representative,2,-570,6
affine_Hmin_assoc81_representative,2,-564,12
affine_Hmin_assoc81_representative,2,-558,6
affine_Hmin_assoc81_representative,2,-546,6
affine_Hmin_assoc81_representative,2,-534,12
affine_Hmin_assoc81_representative,2,-522,18
affine_Hmin_assoc81_representative,2,-516,6
affine_Hmin_assoc81_representative,2,-510,6
affine_Hmin_assoc81_representative,2,-504,18
affine_Hmin_assoc81_representative,2,-498,6
affine_Hmin_assoc81_representative,2,-486,24
affine_Hmin_assoc81_representative,2,-480,24
affine_Hmin_assoc81_representative,2,-474,12
affine_Hmin_assoc81_representative,2,-468,6
affine_Hmin_assoc81_representative,2,-456,15
affine_Hmin_assoc81_representative,2,-450,6
affine_Hmin_assoc81_representative,2,-444,6
affine_Hmin_assoc81_representative,2,-432,12
affine_Hmin_assoc81_representative,2,-426,12
affine_Hmin_assoc81_representative,2,-414,18
affine_Hmin_assoc81_representative,2,-408,24
affine_Hmin_assoc81_representative,2,-396,18
affine_Hmin_assoc81_representative,2,-378,6
affine_Hmin_assoc81_representative,2,-372,3
affine_Hmin_assoc81_representative,2,-360,12
affine_Hmin_assoc81_representative,2,-354,12
affine_Hmin_assoc81_representative,2,-348,3
affine_Hmin_assoc81_representative,2,-336,9
affine_Hmin_assoc81_representative,2,-330,6
affine_Hmin_assoc81_representative,2,-318,18
affine_Hmin_assoc81_representative,2,-312,12
affine_Hmin_assoc81_representative,2,-306,6
affine_Hmin_assoc81_representative,2,-294,12
affine_Hmin_assoc81_representative,2,-288,3
affine_Hmin_assoc81_representative,2,-282,6
affine_Hmin_assoc81_representative,2,-276,12
affine_Hmin_assoc81_representative,2,-270,6
affine_Hmin_assoc81_representative,2,-252,30
affine_Hmin_assoc81_representative,2,-246,6
affine_Hmin_assoc81_representative,2,-240,3
affine_Hmin_assoc81_representative,2,-228,18
affine_Hmin_assoc81_representative,2,-222,6
affine_Hmin_assoc81_representative,2,-216,12
affine_Hmin_assoc81_representative,2,-210,6
affine_Hmin_assoc81_representative,2,-204,6
affine_Hmin_assoc81_representative,2,-198,6
affine_Hmin_assoc81_representative,2,-192,6
affine_Hmin_assoc81_representative,2,-174,6
affine_Hmin_assoc81_representative,2,-162,6
affine_Hmin_assoc81_representative,2,-156,6
affine_Hmin_assoc81_representative,2,-144,6
affine_Hmin_assoc81_representative,2,-114,6
affine_Hmin_assoc81_representative,2,-108,6
affine_Hmin_assoc81_representative,2,-96,6
affine_Hmin_assoc81_representative,2,-78,6
affine_Hmin_assoc81_representative,2,-66,12
affine_Hmin_assoc81_representative,2,-60,6
affine_Hmin_assoc81_representative,2,-48,6
affine_Hmin_assoc81_representative,2,-42,6
affine_Hmin_assoc81_representative,2,-36,6
affine_Hmin_assoc81_representative,2,0,6
affine_Hmin_assoc81_representative,2,66,6
affine_Hmin_assoc81_representative,2,240,3
affine_Hmin_assoc81_representative,2,252,3
affine_Hmin_assoc81_representative,2,360,3
affine_Hmin_assoc81_representative,2,384,3
affine_Hmin_assoc189_representative,1,-1830,2
affine_Hmin_assoc189_representative,1,-1734,2
affine_Hmin_assoc189_representative,1,-1686,2
affine_Hmin_assoc189_representative,1,-1680,2
affine_Hmin_assoc189_representative,1,-1524,2
affine_Hmin_assoc189_representative,1,-1446,2
affine_Hmin_assoc189_representative,1,-1422,2
affine_Hmin_assoc189_representative,1,-1380,2
affine_Hmin_assoc189_representative,1,-1260,2
affine_Hmin_assoc189_representative,1,-1254,2
affine_Hmin_assoc189_representative,1,-1224,2
affine_Hmin_assoc189_representative,1,-1212,2
affine_Hmin_assoc189_representative,1,-1158,2
affine_Hmin_assoc189_representative,1,-1146,2
affine_Hmin_assoc189_representative,1,-1080,4
affine_Hmin_assoc189_representative,1,-1068,2
affine_Hmin_assoc189_representative,1,-1062,2
affine_Hmin_assoc189_representative,1,-846,2
affine_Hmin_assoc189_representative,1,-732,2
affine_Hmin_assoc189_representative,1,-624,2
affine_Hmin_assoc189_representative,2,-1560,2
affine_Hmin_assoc189_representative,2,-1524,2
affine_Hmin_assoc189_representative,2,-1470,2
affine_Hmin_assoc189_representative,2,-1464,2
affine_Hmin_assoc189_representative,2,-1416,2
affine_Hmin_assoc189_representative,2,-1410,2
affine_Hmin_assoc189_representative,2,-1332,2
affine_Hmin_assoc189_representative,2,-1296,2
affine_Hmin_assoc189_representative,2,-1242,2
affine_Hmin_assoc189_representative,2,-1236,1
affine_Hmin_assoc189_representative,2,-1224,2
affine_Hmin_assoc189_representative,2,-1176,2
affine_Hmin_assoc189_representative,2,-1170,2
affine_Hmin_assoc189_representative,2,-1164,2
affine_Hmin_assoc189_representative,2,-1158,2
affine_Hmin_assoc189_representative,2,-1116,1
affine_Hmin_assoc189_representative,2,-1110,2
affine_Hmin_assoc189_representative,2,-1104,3
affine_Hmin_assoc189_representative,2,-1092,2
affine_Hmin_assoc189_representative,2,-1074,2
affine_Hmin_assoc189_representative,2,-1056,4
affine_Hmin_assoc189_representative,2,-1026,2
affine_Hmin_assoc189_representative,2,-1014,2
affine_Hmin_assoc189_representative,2,-1008,2
affine_Hmin_assoc189_representative,2,-990,2
affine_Hmin_assoc189_representative,2,-984,4
affine_Hmin_assoc189_representative,2,-966,4
affine_Hmin_assoc189_representative,2,-954,2
affine_Hmin_assoc189_representative,2,-948,4
affine_Hmin_assoc189_representative,2,-942,4
