stratum,A_param,B_param,d,x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
affine,121,101,221,102210021111222000221,240,1664,1321,343,9984,7926,2058,3258,1200,207,-12,16,408,522,534,324,270
affine,121,102,221,102210021222000111221,231,1643,1345,298,9858,8070,1788,3168,1380,231,-12,16,390,522,282,324,270
affine,121,110,221,102210021012120201221,258,1493,1272,221,8958,7632,1326,3006,1680,339,-14,18,354,738,-54,288,0
affine,121,111,221,102210021120201012221,339,1346,1050,296,8076,6300,1776,3126,1350,255,-14,16,354,576,-72,324,594
affine,121,112,221,102210021201012120221,258,1526,1266,260,9156,7596,1560,3066,1506,318,-12,18,354,702,252,198,54
affine,121,120,221,102210021021102210221,303,1491,1158,333,8946,6948,1998,3720,1722,282,-14,18,354,666,312,288,378
affine,121,121,221,102210021102210021221,285,1497,1200,297,8982,7200,1782,3444,1662,318,-12,18,354,666,186,198,378
affine,121,122,221,102210021210021102221,321,1395,1122,273,8370,6732,1638,3060,1422,309,-10,16,354,684,384,324,-108
affine,121,200,221,102210021000222111221,240,1652,1341,311,9912,8046,1866,3036,1170,228,-12,16,426,486,414,270,270
affine,121,201,221,102210021111000222221,276,1571,1197,374,9426,7182,2244,3420,1176,249,-10,16,318,810,360,486,270
affine,121,202,221,102210021222111000221,258,1598,1272,326,9588,7632,1956,3336,1380,246,-12,16,372,558,378,378,270
affine,121,210,221,102210021012201120221,276,1491,1214,277,8946,7284,1662,3444,1782,333,-14,18,372,642,42,390,216
affine,121,211,221,102210021120012201221,276,1512,1214,298,9072,7284,1788,3618,1830,345,-14,18,372,660,42,390,324
affine,121,212,221,102210021201120012221,276,1503,1220,283,9018,7320,1698,3372,1674,321,-12,16,372,660,42,354,270
affine,121,220,221,102210021021210102221,294,1506,1164,342,9036,6984,2052,3720,1668,327,-12,18,372,546,282,366,486
affine,121,221,221,102210021102021210221,294,1491,1182,309,8946,7092,1854,3720,1866,333,-12,18,372,510,282,366,324
affine,121,222,221,102210021210102021221,294,1491,1194,297,8946,7164,1782,3696,1914,342,-12,18,372,690,318,402,0
affine,122,000,221,210021102000000000221,267,1473,744,729,8838,4464,4374,4482,108,45,-4,16,642,1026,1122,450,1134
affine,122,001,221,210021102111111111221,267,1341,798,543,8046,4788,3258,3606,348,117,-6,16,642,612,1014,450,540
affine,122,002,221,210021102222222222221,267,1419,834,585,8514,5004,3510,3864,354,111,-6,16,588,594,960,450,918
affine,122,010,221,210021102012012012221,213,1425,879,546,8550,5274,3276,3738,462,171,-6,16,624,558,726,504,864
affine,122,011,221,210021102120120120221,213,1416,888,528,8496,5328,3168,3552,384,129,-6,18,624,540,690,450,864
affine,122,012,221,210021102201201201221,213,1434,879,555,8604,5274,3330,3696,366,126,-6,18,624,612,726,504,864
affine,122,020,221,210021102021021021221,213,1431,879,552,8586,5274,3312,3690,378,99,-8,16,624,576,780,468,864
affine,122,021,221,210021102102102102221,213,1446,870,576,8676,5220,3456,3834,378,99,-6,16,624,630,816,522,864
affine,122,022,221,210021102210210210221,213,1431,879,552,8586,5274,3312,3810,498,147,-8,18,624,576,780,468,864
affine,122,100,221,210021102000111222221,321,1346,1108,238,8076,6648,1428,2340,912,240,-8,14,264,972,-150,126,216
affine,122,101,221,210021102111222000221,231,1673,1345,328,10038,8070,1968,3234,1266,222,-12,16,408,522,534,288,216
affine,122,102,221,210021102222000111221,222,1652,1369,283,9912,8214,1698,3114,1416,231,-12,16,390,522,282,288,216
affine,122,110,221,210021102012120201221,339,1376,1062,314,8256,6372,1884,3168,1284,273,-10,16,354,576,108,252,594
affine,122,111,221,210021102120201012221,258,1502,1272,230,9012,7632,1380,3018,1638,330,-10,18,354,738,-54,288,54
affine,122,112,221,210021102201012120221,258,1541,1272,269,9246,7632,1614,3138,1524,312,-10,18,354,702,396,162,0
