stratum,rule,a,b,d,x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
column_blind,cb_11,1,1,011,111111111111111111011,471,567,252,315,3402,1512,1890,2214,324,108,-4,18,810,1188,-108,0,0
column_blind,cb_12,1,2,011,111111111222222222011,255,1323,450,873,7938,2700,5238,5238,0,0,0,18,702,1134,1458,0,1944
column_blind,cb_20,2,0,011,222222222000000000011,255,1368,378,990,8208,2268,5940,5940,0,0,0,18,702,1404,1566,0,2268
column_blind,cb_21,2,1,011,222222222111111111011,255,1323,450,873,7938,2700,5238,5238,0,0,0,18,702,1134,1458,0,1944
column_blind,cb_22,2,2,011,222222222222222222011,363,1053,324,729,6318,1944,4374,4398,24,6,-4,18,594,1728,2052,0,0
column_blind,cb_00,0,0,012,000000000000000000012,459,594,270,324,3564,1620,1944,2160,216,108,-2,18,648,1296,0,0,0
column_blind,cb_01,0,1,012,000000000111111111012,297,1242,432,810,7452,2592,4860,4860,0,0,0,18,648,1296,972,0,1944
column_blind,cb_02,0,2,012,000000000222222222012,297,1242,432,810,7452,2592,4860,4860,0,0,0,18,648,1296,972,0,1944
column_blind,cb_10,1,0,012,111111111000000000012,297,1242,432,810,7452,2592,4860,4860,0,0,0,18,648,1296,972,0,1944
column_blind,cb_11,1,1,012,111111111111111111012,459,594,270,324,3564,1620,1944,2160,216,108,-2,18,648,1296,0,0,0
column_blind,cb_12,1,2,012,111111111222222222012,297,1242,432,810,7452,2592,4860,4860,0,0,0,18,648,1296,972,0,1944
column_blind,cb_20,2,0,012,222222222000000000012,297,1242,432,810,7452,2592,4860,4860,0,0,0,18,648,1296,972,0,1944
column_blind,cb_21,2,1,012,222222222111111111012,297,1242,432,810,7452,2592,4860,4860,0,0,0,18,648,1296,972,0,1944
column_blind,cb_22,2,2,012,222222222222222222012,459,594,270,324,3564,1620,1944,2160,216,108,-2,18,648,1296,0,0,0
column_blind,cb_00,0,0,020,000000000000000000020,471,590,214,376,3540,1284,2256,2472,216,108,-2,18,960,1296,0,0,0
column_blind,cb_01,0,1,020,000000000111111111020,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_02,0,2,020,000000000222222222020,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
column_blind,cb_10,1,0,020,111111111000000000020,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_11,1,1,020,111111111111111111020,363,1076,250,826,6456,1500,4956,4986,30,9,-4,18,744,1944,2268,0,0
column_blind,cb_12,1,2,020,111111111222222222020,201,1463,394,1069,8778,2364,6414,6414,0,0,0,16,690,1296,2160,0,2268
column_blind,cb_20,2,0,020,222222222000000000020,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
