locus,point_count,effective_orbit_count,Assoc,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST,representative_x21
Hmax,12,6,195,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592,000000000111111111220
Hmin,6,4,189,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620,012120201012120201012
Hmin,2,1,81,9396,11664,-2268,972,3240,288,-14,16,0,-2268,0,0,0,111222000111222000012
pure_frontier,6,4,219,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592,000000000111111111222
