object,a,b,I_tot,B_tot,H_tot,H_plus,H_minus,N_minus,H_value_counts
PAB,1,2,8904,1884,7020,7020,0,0,0:177;4:12;8:108;10:12;12:162;14:42;16:216
row-complement,2,1,8904,1884,7020,7020,0,0,0:177;4:12;8:108;10:12;12:162;14:42;16:216
