id,minimal_size,representative,function_signature_base9_on_M2,sha256_signature
78,5,(((y*x)*x)*(y*y)),021555777011555777022555777222343666222543666222545666111333668111333778111333768,d952c56175ebdf07b7b4bbb012b54425738d5016ea363327bb99cf2429d0886f
79,6,(((y*x)*(x*x))*(y*y)),021555777200555777100555777222454666222543666222434666111333887111333886111333768,66e54b520a5e6178f5277b323163d4f2827a9ce2d2a6c22e1e2425ab7901b28f
80,6,((((y*x)*y)*x)*(y*y)),000555777000555777000555777222444666222444666222444666111333888111333888111333888,485fe18957117d7a913a4b5c13e87b2aef98a78e9d30dba765b9a3e3fc67daca
81,5,(((y*y)*x)*(y*y)),000555777111555777222555777222333666222444666222555666111333666111333777111333888,f22ab12c1e001a3477167ee3a8010696722079adf530065c40b6da63152fd8c8
82,4,(((x*x)*x)*y),021111222100111222200111222333434555333543555333454555666777886666777887666777768,ae3fea68f400ec3715b59a9e20ccc84468e048458c965b5ca27e01577c907203
83,6,(((x*x)*x)*((x*y)*x)),021111222100111111200222222333434333333543555555454555666666886777777887666777768,bc9a4ef6902d4798efdc9ad7c47889a137408ce15235fa3673d5902c8b3db53f
84,6,(((x*x)*x)*(x*(y*x))),021222111100000000200000000444434444555543333444454444888888886888888887777666768,7b27b0c0e36bcff0efa890e1e21e948b35fc5198095475eaab06ce66ba73ca7a
85,6,(((x*x)*x)*((x*x)*y)),012222111100000000200000000444434444555345333444454444888888886888888887777666678,4f8fc0e9ecf0452754fff9518f84b016ed3863e69337a106a83064d3fb576023
86,7,(((x*x)*(y*x))*((x*x)*x)),021222111011000000022000000444343444555543333444545444888888668888888778777666768,6b2eab78a3931660f6797af63ff7482c7a095e55696b46611c43c2be1441c3a7
87,7,((((x*x)*y)*y)*((x*x)*x)),000222111111000000222000000444333444555444333444555444888888666888888777777666888,edf01dee9085929175218484b5c8b947f27094640e6ce237f8c55c67197f58a4
88,6,((((x*x)*y)*x)*(x*y)),000000000000222111000222111555444333444444444555444333777666888777666888888888888,d98cd6ef80d1f33958542a471928366e23a8c0a538cd1f82d3e42175433c0550
89,6,(((x*y)*x)*(x*(y*y))),021000000100222111200222111555434333444543444555454333777666886777666887888888768,3500466664db6ec04a31eb68028c5ab8ddc0b3cfbe93f0c629307b181a264a85
90,7,(((x*x)*(x*y))*((x*y)*x)),000000000211111222122111222333353555444444444333535555666777667666777776888888888,fbb774b3047473d19af4fc93ed0fad8ed9e7b577a4155f9c3fac6ee02d0b7ab6
91,7,((((x*x)*x)*y)*((x*y)*x)),000000000211222111122222111555353333444444444555535333777666667777666776888888888,af926ade1e28543596aee862fa028059851ad02ec9a385bddb35a3e924156730
92,7,((((x*x)*y)*x)*(x*(y*y))),021000000011222111022222111555343333444543444555545333777666668777666778888888768,19a7e89db2b0199802597b782a22daeca47984f5c5827da46390479996615772
93,6,(((x*y)*x)*((x*y)*y)),021000000200222111100222111555454333444543444555434333777666887777666886888888768,dab93710cd7f982fad833ba9275fc8f63ee36bb8cc0cd89f0b914c67533b64fc
94,7,((((x*x)*x)*y)*((y*x)*x)),000111222211111222122111222333353555333444555333535555666777667666777776666777888,39ca3a70b37d825346c0e14e6e0a72f34def200bc4fa1b46a369e6269990115f
95,6,((x*(y*x))*(x*(y*y))),021000000100000000200000000444434444444543444444454444888888886888888887888888768,a2fa619c04f205f96f26c14158d231ba513bba79ed68aefe4d0b0bf4f92da81f
96,7,((((x*x)*x)*y)*(x*(y*x))),000000000211000000122000000444353444444444444444535444888888667888888776888888888,d1f7453afcdf341717c2e8d8c3708be9c8a641a83fab5440889a953e40d89051
